"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"19.08.2018","4,078","3,984","4,094","3,961","28,25M","2,15%"
"12.08.2018","3,992","4,562","5,031","3,859","1,17B","-11,90%"
"05.08.2018","4,531","3,453","4,930","3,453","1,39B","31,52%"
"29.07.2018","3,445","3,430","3,602","3,328","309,26M","0,20%"
"22.07.2018","3,438","3,422","3,484","3,258","237,95M","1,39%"
"15.07.2018","3,391","3,352","3,516","3,273","258,04M","1,89%"
"08.07.2018","3,328","3,578","3,633","3,117","344,24M","-6,17%"
"01.07.2018","3,547","3,423","3,594","3,381","315,18M","3,17%"
"24.06.2018","3,438","3,480","3,530","3,274","420,52M","4,09%"
"17.06.2018","3,303","3,040","3,359","3,018","413,30M","8,65%"
"10.06.2018","3,040","3,182","3,232","2,976","279,42M","-3,80%"
"03.06.2018","3,160","3,253","3,317","3,082","488,97M","-2,44%"
"27.05.2018","3,239","3,445","3,459","3,203","519,36M","-3,57%"
"20.05.2018","3,359","3,501","3,523","3,203","465,85M","-4,47%"
"13.05.2018","3,516","3,565","3,807","3,409","487,64M","-1,18%"
"06.05.2018","3,558","4,276","4,276","3,551","325,48M","-16,79%"
"29.04.2018","4,276","5,068","5,095","4,176","229,44M","-15,39%"
"22.04.2018","5,054","5,149","5,189","4,906","99,26M","-1,98%"
"15.04.2018","5,156","5,169","5,304","5,014","199,42M","0,41%"
"08.04.2018","5,135","5,426","5,446","4,973","181,44M","-4,89%"
"01.04.2018","5,399","5,506","5,581","5,237","241,00M","-1,71%"
"25.03.2018","5,493","5,446","5,520","5,358","164,78M","1,50%"
"18.03.2018","5,412","5,486","5,527","5,331","171,67M","-1,11%"
"11.03.2018","5,473","5,405","5,534","5,351","169,33M","1,88%"
"04.03.2018","5,372","5,466","5,486","5,169","229,63M","-1,59%"
